T1,T2,T3
0.159,0.634,0.207
0.162,0.546,0.292
0.294,0.5372,0.1688
0.3845,0.4212,0.1943
0.1936,0.4614,0.345
0.5191,0.2965,0.1844
0.4759,0.3446,0.1795
0.35,0.324,0.326
0.2616,0.2308,0.5076
0.207,0.1686,0.6244
0.2467,0.2128,0.5405
0.2082,0.263,0.5288
0.2148,0.162,0.6232
0.6362,0.2306,0.1332
0.671,0.182,0.147
0.6409,0.1392,0.2199
0.8019,0.1077,0.0904
0.8676,0.1267,0.0057
0.8838,0.1086,0.0076
0.3642,0.4274,0.2084
0.5822,0.2444,0.1734
0.3866,0.394,0.2194
0.5028,0.2319,0.2653
0.4108,0.2256,0.3636
0.4724,0.3618,0.1658
0.3486,0.3131,0.3383
0.3191,0.3852,0.2957
0.2762,0.4076,0.3162
0.4495,0.2097,0.3408
0.359,0.1108,0.5302
0.2458,0.3782,0.376
0.324,0.3852,0.2908
0.3768,0.2974,0.3258
0.3442,0.3532,0.3026
0.2788,0.3824,0.3388
0.2848,0.3874,0.3278
0.3252,0.3358,0.339
0.4212,0.3158,0.263
0.3432,0.352,0.3048
0.4851,0.2901,0.2248
0.471,0.333,0.196
0.599,0.209,0.192
0.453,0.253,0.294
0.502,0.269,0.229
0.431,0.249,0.32
0.2314,0.1106,0.658
0.3334,0.215,0.4516
0.3429,0.2552,0.4019
0.5504,0.1378,0.3118
0.6012,0.2429,0.1559
0.5897,0.2393,0.171
0.6242,0.1958,0.18
0.5542,0.2094,0.2364
0.5108,0.2176,0.2716
0.3928,0.3024,0.3048
0.3368,0.3036,0.3596
0.329,0.2915,0.3795
0.2384,0.3189,0.4427
0.2578,0.392,0.3502
0.2778,0.4626,0.2596
0.3765,0.2653,0.3582
0.395,0.275,0.33
0.4524,0.225,0.3226
0.4588,0.3198,0.2214
0.4566,0.2732,0.2702
0.3014,0.4194,0.2792
0.3772,0.4344,0.1884
0.4716,0.3472,0.1812
0.6408,0.1564,0.2028
0.5248,0.3064,0.1688
0.471,0.24,0.289
0.625,0.325,0.05
0.3438,0.3626,0.2936
0.5720000000000001,0.24940000000000004,0.17860000000000004
0.5548,0.2438,0.2014
0.4248,0.312,0.2632
0.4653,0.343,0.1917
0.5611,0.2055,0.2334
0.5562,0.2254,0.2184
0.5651,0.249,0.1859
0.6573,0.1884,0.1543
0.5832,0.2462,0.1706
0.4694,0.302,0.2286
0.4456,0.3284,0.226
0.3875,0.3367,0.2758
0.4372,0.2684,0.2944
0.3689,0.3001,0.331
0.23,0.4426,0.3274
0.2088,0.3583,0.4329
0.2439,0.2671,0.489
0.255,0.4372,0.3078
0.2322,0.443,0.3248
0.3534,0.2446,0.402
0.2312,0.2496,0.5192
0.3252,0.3004,0.3744
0.2612,0.3934,0.3454
0.384,0.301,0.315
0.59,0.24,0.17
0.4422,0.2234,0.3344
0.3122,0.4474,0.2404
0.3383,0.3973,0.2644
0.3568,0.2884,0.3548
0.3398,0.313,0.3472
0.4611,0.2612,0.2777
0.3394,0.3344,0.3262
0.3204,0.3322,0.3474
0.3606,0.3112,0.3282
0.3058,0.3884,0.3058
0.3838,0.3236,0.2926
0.2458,0.2586,0.4956
0.306,0.204,0.49
0.2096,0.2082,0.5822
0.4512,0.1866,0.3622
0.4639,0.1845,0.3516
0.2954,0.174,0.5306
0.2614,0.3968,0.3418
0.246,0.293,0.461
0.3254,0.4574,0.2172
0.3184,0.5078,0.1738
0.2972,0.4956,0.2072
0.234,0.588,0.178
0.262,0.516,0.222
0.346,0.34,0.314
0.4222,0.2796,0.2982
0.2795,0.288,0.4325
0.4389,0.29,0.2711
0.4074,0.2337,0.3589
0.428,0.2082,0.3638
0.4696,0.1812,0.3492
0.325,0.2783,0.3967
0.3936,0.2832,0.3232
0.365,0.2363,0.3987
0.3808,0.2325,0.3867
0.3448,0.2462,0.409
0.3391,0.318,0.3429
0.3299,0.3348,0.3353
0.3406,0.3938,0.2656
0.3396,0.3406,0.3198
0.274,0.4465,0.2795
0.1943,0.6206,0.1851
0.297,0.372,0.331
0.3114,0.2992,0.3894
0.3856,0.346,0.2684
0.4062,0.2877,0.3061
0.4172,0.3577,0.2251
0.4078,0.3613,0.2309
0.3078,0.4302,0.262
0.2956,0.4198,0.2846
0.2036,0.5206,0.2758
0.2429,0.5459,0.2112
0.3362,0.4053,0.2585
0.303,0.4556,0.2414
0.3238,0.4377,0.2385
0.423,0.278,0.299
0.3908,0.2808,0.3284
0.4024,0.2996,0.298
0.496,0.2404,0.2636
0.5106,0.2298,0.2596
