0,1,2
75378,168281,146966
107873,69824,212928
52454,23430,314741
57875,61900,270850
123525,156500,110600
44836,75418,270371
100950,78100,211575
91350,110600,188675
99225,101250,190150
85291,152470,152864
69995,43323,277307
134805,55246,200574
113250,121500,155875
50625,93000,247000
43344,79512,267769
226700,56550,107375
48127,41877,300621
100876,69727,220022
189759,27164,173702
142361,115559,132705
134700,65000,190925
144495,49495,196635
115125,121525,153975
107789,109749,173087
74200,24525,291900
77100,102725,210800
124200,108400,158025
31850,27500,331275
119225,91375,180025
96465,51790,242370
104875,103875,181875
87670,139920,163035
74125,53715,262785
85044,138079,167502
119287,95620,175718
121250,63750,205625
62300,33075,295250
8000,1625,381000
103400,9150,278075
78698,62523,249404
45250,69525,275850
109034,110423,171168
91285,80285,219055
82575,58575,249475
145725,118900,126000
41425,9075,340125
217350,65100,108175
106050,42000,242575
120365,73963,196297
145010,163980,81635
132800,59175,198650
46700,66275,277650
132625,169125,88875
122250,159375,109000
100371,91885,198369
121408,96628,172589
26650,23838,340137
175810,84459,130356
98750,154250,137625
111930,102930,175765
108434,107873,174318
135157,133761,121707
131200,88450,170975
58725,23150,308750
224700,56150,109775
152350,65125,173150
101275,102600,186750
106025,113600,171000
98350,83600,208675
73445,17340,299840
102800,55450,232375
105593,121094,163938
110125,42000,238500
35316,57274,298035
51475,7350,331800
146250,96250,148125
268925,46825,74875
85700,88150,216775
127709,92556,170360
87330,72238,231057
58460,82215,249950
140983,79400,170242
180550,105575,104500
10000,6250,374375
112925,161175,116525
5000,3750,381875
54375,40125,296125
97950,74400,218275
55375,9250,326000
108675,159525,122425
86730,82430,221465
78450,48750,263425
61623,42359,286643
65909,99654,225062
108606,113972,168047
40200,65450,284975
100090,86240,204295
122180,117760,150685
56550,207500,126575
144141,85708,160776
165675,38400,186550
63225,66200,261200
142025,81000,167600
122846,160492,107287
183150,40900,166575
92665,87090,210870
171225,94400,125000
112617,127117,150891
86935,75735,227955
147770,91140,151715
156043,113280,121302
133838,163524,93263
179025,39300,172300
163006,90456,137163
98227,142966,149432
101266,67473,221886
138574,132748,119303
108700,108200,173725
43199,31349,316077
242240,63870,84515
121066,49966,219593
82443,116643,191539
94992,107817,187816
86044,30269,274312
93950,126275,170400
30900,127650,232075
116850,144955,128820
87125,103750,199750
117020,116670,156935
82175,143750,164700
87863,178831,123931
87507,67734,235384
85900,32150,272575
26902,51802,311921
118664,108488,163473
124558,89547,176520
100200,27950,262475
188750,90750,111125
175107,94654,120864
90770,84670,215185
82600,112035,195990
218972,82417,89236
119175,167250,104200
100580,65130,224915
44100,177075,169450
199830,35517,155278
142550,98275,149800
111550,28250,250825
124250,94375,172000
135175,101550,153900
168625,92500,129500
78670,226430,85525
64950,74150,251525
131675,128250,130700
129500,80800,180325
71875,135000,183750
96350,143775,150500
50025,113100,227500
97492,126576,166557
97215,59040,234370
165533,30600,194492
77375,131900,181350
56700,81750,252175
68050,108475,214100
127670,164925,98030
94876,93287,202462
133700,39425,217500
28350,253951,108324
138925,123900,127800
82956,151231,156438
131560,128710,130355
84170,149972,156483
22050,22050,346525
150307,92496,147822
26750,166030,197845
99925,71500,219200
93075,136100,161450
119750,62550,208325
100150,100625,189850
112158,105283,173184
106430,97110,187085
78350,72675,239600
153875,107400,129350
76875,100000,213750
95917,95767,198941
75475,146900,168250
129504,140456,120665
152920,86470,151235
136465,99780,154380
104544,87894,198187
161740,27815,201070
154450,100809,135366
110510,117640,162475
42500,33125,315000
190487,101684,98454
77600,158225,154800
58136,50691,281798
98225,170950,121450
119625,117675,153325
38025,5625,346975
72000,69000,249625
170215,86121,134289
113875,129375,147375
129339,117197,144089
210790,49665,130170
52200,35850,302575
115000,68550,207075
116550,160749,113326
88272,54141,248212
76825,35575,278225
207550,69775,113300
86066,154151,150408
103683,118633,168309
96875,56925,236825
110895,120595,159135
145671,105296,139658
181825,130025,78775
200125,98950,91550
101757,77272,211596
59653,249165,81807
123245,106299,161081
68240,36890,285495
110042,67542,213041
77822,71786,241017
92250,146700,151675
155112,81551,153962
47376,47376,295873
144190,106690,139745
101893,73962,214770
152803,102734,135088
120239,126642,143744
60050,41825,288750
43300,275695,71630
140725,93400,156500
43060,78010,269555
53750,30625,306250
100095,187156,103374
197550,65550,127525
118750,184875,87000
126148,119263,145214
71670,37047,281908
228475,33750,128400
103650,140025,146950
54851,96316,239458
184755,78810,127060
196850,115425,78350
118354,58923,213348
197450,96675,96500
111625,143975,135025
116275,130975,143375
92925,116075,181625
150580,95100,144945
62510,205255,122860
142114,129202,119309
73475,144300,172850
190526,78752,121347
64797,63644,262184
42816,91666,256143
95375,209850,85400
92125,86500,212000
96375,116525,177725
104418,74168,212039
141840,121980,126805
134160,68670,187795
125850,69500,195275
97000,106650,186975
72050,54550,264025
56999,130323,203303
43375,72750,274500
137438,103527,149660
115320,159685,115620
136485,110120,144020
122175,169500,98950
89822,75372,225431
72000,116600,202025
85230,131265,174130
112649,99102,178874
82688,86663,221274
78091,147710,164824
55250,157050,178325
86392,88792,215441
128875,104525,157225
130329,106748,153548
118148,81103,191374
121442,99167,170016
58125,86750,245750
155575,57400,177650
119200,116550,154875
58550,179450,152625
