0,1,2
121755,136308,132562
113273,98426,178926
49085,190820,150720
118430,75100,197095
218400,104300,67925
146500,86000,158125
141050,64650,184925
107605,87620,195400
98230,134665,157730
85614,33889,271122
164875,91235,134515
202825,75350,112450
102350,185520,102755
164220,122548,103857
72423,234449,83753
70977,104860,214788
127621,135872,127132
135218,104318,151089
119905,34427,236293
30495,190170,169960
60625,65625,264375
182550,120775,87300
142850,51150,196625
108600,36000,246025
68700,238975,82950
120650,136300,133675
147600,57075,185950
138146,126271,126208
113575,100800,176250
156750,114125,119750
56957,103348,230320
111192,106868,172565
91060,126515,173050
139700,161650,89275
143428,103964,143233
128007,105037,157581
136625,79050,174950
263550,76175,50900
232925,45590,112110
55200,79550,255875
146049,76533,168043
100975,102375,187275
154200,108925,127500
117900,90125,182600
83707,186261,120657
129125,137000,124500
123675,75400,191550
180829,61248,148548
88466,90538,211621
86875,76700,227050
71241,61663,257721
108498,180826,101301
198100,81950,110575
86250,89375,215000
116750,98800,175075
185025,88050,117550
232855,39760,118010
76338,153356,160931
238850,91275,60500
113150,104625,172850
120557,97407,172661
105570,80965,204090
83545,115220,191860
119900,30595,240130
161600,93900,135125
124050,104100,162475
144375,30300,215950
102199,110581,177845
124275,109325,157025
140776,113432,136417
165442,49222,175961
163375,76900,150350
85250,162625,142750
171285,105894,113446
118100,78700,193825
153575,38250,198800
84555,118968,187102
206420,80645,103560
118078,210960,61587
126050,78300,186275
66069,52431,272125
112464,84972,193189
162186,41436,187003
67124,40710,282791
78850,18600,293175
160250,82255,148120
179980,46610,164035
170405,79635,140585
220125,87750,82750
238325,33950,118350
130750,133075,126800
20625,29050,340950
83169,110505,196951
53907,229314,107404
62625,86625,241375
102400,112400,175825
143955,81255,165415
112712,89685,188228
24742,75213,290670
69251,106742,214632
114493,96372,179760
124075,101550,165000
90250,104200,196175
134156,79431,177038
125141,82876,182608
103231,190863,96531
282575,51700,56350
74450,168850,147325
73240,95390,221995
180000,7500,203125
141125,112350,137150
53550,22500,314575
169395,143430,77800
75993,99785,214847
152400,124300,113925
108913,88144,193568
172575,28525,189525
97582,121857,171186
120825,96850,172950
135414,64203,191008
280725,44025,65875
126124,122466,142035
133750,125575,131300
105700,121750,163175
41530,3575,345520
97250,176775,116600
171775,32850,186000
184100,72600,133925
151864,114361,124400
66350,46350,277925
161017,63952,165656
120775,154000,115850
102500,109500,178625
145965,91140,153520
146250,92155,152220
136900,93450,160275
126880,132625,131120
189590,88485,112550
162375,97350,130900
88420,231510,70695
132875,88125,169625
132778,141793,116054
151777,96257,142591
122955,127720,139950
110900,160325,119400
106650,155750,128225
99321,113632,177672
124209,144459,121957
128500,48375,213750
143590,38880,208155
89750,134300,166575
86250,96875,207500
