0,1,2
141025,137850,111750
186350,132650,71625
196675,145200,48750
347800,5400,37425
173640,84780,132205
113235,171185,106205
368275,1425,20925
83125,276500,31000
100550,86875,203200
194975,83550,112100
104321,140510,145794
220785,138600,31240
291220,1365,98040
172652,50249,167724
356900,9050,24675
293775,67725,29125
160475,129250,100900
185175,143575,61875
284050,42700,63875
253295,58240,79090
208650,88450,93525
159105,107812,123708
166750,49500,174375
112500,131675,146450
156875,60375,173375
209494,120829,60302
104828,208251,77546
134213,165567,90845
216535,87730,86360
131250,45500,213875
307525,16800,66300
102545,287040,1040
171400,70050,149175
207032,122382,61211
102300,175175,113150
107450,160400,122775
57975,42600,290050
201950,67525,121150
223750,93750,73125
142125,64250,184250
91275,56425,242925
194325,71550,124750
102130,14335,274160
296875,82500,11250
302675,22700,65250
364025,16400,10200
237625,96750,56250
241976,78950,69699
159325,20000,211300
368925,4200,17500
184723,138915,66987
70780,239695,80150
274000,89600,27025
223375,91925,75325
166375,119270,104980
145333,154797,90495
329375,5650,55600
78650,252925,59050
112295,180870,97460
154446,143241,92938
44400,145425,200800
125625,109850,155150
157608,151964,81053
200075,120000,70550
136470,178540,75615
143250,181140,66235
141624,117299,131702
244175,64925,81525
115599,88104,186922
150625,140475,99525
368058,9196,13371
90386,199568,100671
245625,135000,10000
210048,101288,79289
146225,126000,118400
147737,99637,143251
131775,62000,196850
342425,29000,19200
135200,108125,147300
233600,103975,53050
316608,38709,35308
113850,224075,52700
162754,127860,100011
244315,48840,97470
175475,131100,84050
178625,115200,96800
243981,127255,19389
170475,109400,110750
273034,56208,61383
115785,112420,162420
120830,181135,88660
329725,4200,56700
240575,78200,71850
250730,68435,71460
102600,127375,160650
116000,72450,202175
161734,134102,94789
152000,106750,131875
55306,189378,145941
64675,260575,65375
390625,0,0
240600,21675,128350
129825,187975,72825
210643,107869,72113
11575,276575,102475
254097,28764,107764
140375,116250,134000
127901,70737,191987
156709,5584,228332
169725,90900,130000
135246,125852,129527
373625,11000,6000
328625,26600,35400
194450,85400,110775
233125,78750,78750
126225,184400,80000
73835,178020,138770
113801,119223,157601
197794,92987,99844
122500,82500,185625
60529,150879,179217
310650,26300,53675
178050,160875,51700
144850,147625,98150
295750,55500,39375
192500,97500,100625
78125,78125,234375
136087,164554,89984
152050,122425,116150
173750,6875,210000
240500,102100,48025
189142,136266,65217
390625,0,0
241760,99380,49485
95625,93550,201450
207625,83800,99200
323025,35400,32200
221406,65597,103622
162075,84250,144300
201000,550,189075
127505,125645,137475
202225,103950,84450
166500,108100,116025
177714,93218,119693
210250,54375,126000
150650,32400,207575
139826,113343,137456
364100,1400,25125
176575,139950,74100
312625,21800,56200
133125,39500,218000
190725,132700,67200
179335,72770,138520
369375,0,21250
111700,63300,215625
111875,221000,57750
92000,259250,39375
279887,47944,62794
104725,161400,124500
62992,123009,204624
95575,141400,153650
155588,162478,72559
178295,94940,117390
183125,96250,111250
279575,62325,48725
130315,149190,111120
156873,151468,82284
107905,214255,68465
99295,76245,215085
164737,78117,147771
171775,139725,79125
196198,13851,180576
86791,212756,91078
169067,126703,94855
159200,134625,96800
88100,56800,245725
237575,71800,81250
157500,182750,50375
211854,90372,88399
377500,13125,0
322770,33190,34665
152204,70598,167823
32252,302071,56302
128477,165457,96691
293995,40740,55890
220800,32025,137800
120855,145180,124590
115035,151710,123880
218750,171875,0
114447,111872,164306
150282,44532,195811
314265,44980,31380
164800,190800,35025
144950,88625,157050
244800,38100,107725
187873,52076,150676
211128,85036,94461
53250,122275,215100
105529,65348,219748
257900,83600,49125
252850,79400,58375
204875,145750,40000
119405,99710,171510
313405,26160,51060
161875,123950,104800
137250,140500,112875
141500,56425,192700
126825,67275,196525
146700,142500,101425
93100,213150,84375
253750,54375,82500
63200,182975,144450
137168,116272,137185
173972,107370,109283
171012,106012,113601
101725,58200,230700
60000,158800,171825
192404,110811,87410
326347,57914,6364
247080,89460,54085
168425,94675,127525
141225,142950,106450
236125,124800,29700
165561,112577,112487
211770,63915,114940
125372,234734,30519
195629,97148,97848
112307,167453,110865
214800,104275,71550
100525,45350,244750
92781,108661,189183
108750,185175,96700
124375,87625,178625
96275,101225,193125
184175,35850,170600
116000,117150,157475
203780,104305,82540
70463,178654,141508
81631,38991,270003
131890,18330,240405
204208,107168,79249
130000,112925,147700
359375,31250,0
245500,105385,39740
112465,225005,53155
263400,64775,62450
183430,59640,147555
202044,74849,113732
266633,64208,59784
115015,88240,187370
236944,61481,92200
147750,103975,138900
112277,163731,114617
325000,13750,51875
281875,85750,23000
73795,149895,166935
110625,58850,221150
135936,217396,37293
260858,95021,34746
324125,33300,33200
371675,5025,13925
156825,87975,145825
166812,126269,97544
222418,113666,54541
233874,86207,70544
152275,78300,160050
168925,56500,165200
151929,133442,105254
130001,115314,145310
81800,209050,99775
225000,58750,106875
214175,140350,36100
203650,93775,93200
308400,71825,10400
288883,89946,11796
171250,149125,70250
149875,70000,170750
224938,120037,45650
202988,120821,66816
229750,150125,10750
156625,79425,154575
264381,57148,69096
201875,129600,59150
189345,124810,76470
140625,187500,62500
147300,146300,97025
132468,159941,98216
261885,101995,26745
179998,104636,105991
144151,89312,157162
212500,126250,51875
249505,82710,58410
269125,13900,107600
151115,84080,155430
265625,125000,0
82100,232800,75725
160519,185094,45012
205575,129700,55350
259536,60732,70357
173828,172536,44261
147281,82999,160345
340625,6250,43750
241413,115924,33288
140704,140223,109698
187750,98875,104000
155600,47600,187425
229250,67875,93500
109375,234375,46875
102150,64075,224400
136250,122500,131875
162660,127835,100130
390625,0,0
100105,270285,20235
236566,68892,85167
199175,88600,102850
179995,156560,54070
156433,84368,149824
390625,0,0
140775,152125,97725
309600,52400,28625
155940,106990,127695
261875,68750,60000
230750,150500,9375
248750,31875,110000
65575,179475,145575
