T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.3295,0.2946,0.3759
0.3372,0.252,0.4108
0.3164,0.2856,0.398
0.344,0.3144,0.3416
0.344,0.3144,0.3416
0.344,0.3144,0.3416
0.3392,0.3234,0.3374
0.3392,0.3234,0.3374
0.3488,0.3166,0.3346
0.3611,0.3349,0.304
0.3933,0.3003,0.3064
0.364,0.3072,0.3288
0.364,0.3072,0.3288
0.364,0.3072,0.3288
0.364,0.3072,0.3288
0.3516,0.314,0.3344
0.3996,0.2732,0.3272
0.437,0.2464,0.3166
0.3864,0.1494,0.4642
0.3672,0.2262,0.4066
0.3672,0.2262,0.4066
0.2728,0.3302,0.397
0.2644,0.3519,0.3837
0.3178,0.27,0.4122
0.2838,0.346,0.3702
0.2838,0.346,0.3702
0.2848,0.3548,0.3604
0.3276,0.29,0.3824
0.3538,0.2926,0.3536
0.3538,0.2926,0.3536
0.3556,0.2954,0.349
0.4654,0.2534,0.2812
0.4374,0.2886,0.274
0.4657,0.2899,0.2444
0.4657,0.2939,0.2404
0.4021,0.3381,0.2598
0.4125,0.3105,0.277
0.3954,0.3074,0.2972
0.3954,0.3074,0.2972
0.3954,0.3074,0.2972
0.395,0.305,0.3
0.394,0.303,0.303
0.3862,0.3222,0.2916
0.3434,0.337,0.3196
0.3254,0.3518,0.3228
0.3342,0.3626,0.3032
0.3342,0.3626,0.3032
0.3402,0.3746,0.2852
0.3402,0.3746,0.2852
0.3324,0.3828,0.2848
0.2914,0.3778,0.3308
0.2888,0.3836,0.3276
0.2888,0.3836,0.3276
0.3192,0.3504,0.3304
0.3192,0.3504,0.3304
0.3192,0.3504,0.3304
0.272,0.3884,0.3396
0.254,0.3604,0.3856
0.2892,0.3196,0.3912
0.3144,0.3022,0.3834
0.368,0.341,0.291
0.374,0.353,0.273
0.374,0.353,0.273
0.378,0.376,0.246
0.3372,0.3636,0.2992
0.4152,0.2736,0.3112
0.4152,0.2736,0.3112
0.4484,0.253,0.2986
0.5452,0.2426,0.2122
0.5838,0.2326,0.1836
0.5964,0.1972,0.2064
0.5794,0.2128,0.2078
0.5074,0.2948,0.1978
0.4984,0.2808,0.2208
0.4984,0.2808,0.2208
0.4984,0.2808,0.2208
0.4684,0.31,0.2216
0.4684,0.31,0.2216
0.4612,0.2656,0.2732
0.4436,0.2944,0.262
0.4448,0.3628,0.1924
0.3972,0.4104,0.1924
0.3552,0.4324,0.2124
0.3552,0.4324,0.2124
0.3588,0.4644,0.1768
0.3564,0.4732,0.1704
0.393,0.445,0.162
0.393,0.445,0.162
0.388,0.47,0.142
0.502,0.35,0.148
0.502,0.35,0.148
0.452,0.408,0.14
