"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.45, 0.5), (0.2, 0.25), (0.25, 0.3)]",16,14,0.067,0.133,0.715,46
"[(0.5, 0.55), (0.0, 0.05), (0.45, 0.5)]",0,0,,,,45
"[(0.5, 0.55), (0.0, 0.05), (0.4, 0.45)]",0,0,,,,44
"[(0.5, 0.55), (0.05, 0.1), (0.4, 0.45)]",0,1,-1.000,1.386,0.239,43
"[(0.5, 0.55), (0.05, 0.1), (0.35, 0.4)]",1,0,1.000,1.386,0.239,42
"[(0.5, 0.55), (0.1, 0.15), (0.35, 0.4)]",1,3,-0.500,1.046,0.306,41
"[(0.5, 0.55), (0.1, 0.15), (0.3, 0.35)]",2,0,1.000,2.773,0.096,40
"[(0.5, 0.55), (0.15, 0.2), (0.3, 0.35)]",6,5,0.091,0.091,0.763,39
"[(0.5, 0.55), (0.15, 0.2), (0.25, 0.3)]",11,9,0.100,0.200,0.654,38
"[(0.5, 0.55), (0.2, 0.25), (0.25, 0.3)]",13,8,0.238,1.202,0.273,37
"[(0.55, 0.6), (0.0, 0.05), (0.4, 0.45)]",0,0,,,,36
"[(0.55, 0.6), (0.0, 0.05), (0.35, 0.4)]",0,0,,,,35
"[(0.55, 0.6), (0.05, 0.1), (0.35, 0.4)]",0,1,-1.000,1.386,0.239,34
"[(0.55, 0.6), (0.05, 0.1), (0.3, 0.35)]",0,1,-1.000,1.386,0.239,33
"[(0.55, 0.6), (0.1, 0.15), (0.3, 0.35)]",0,2,-1.000,2.773,0.096,32
"[(0.55, 0.6), (0.1, 0.15), (0.25, 0.3)]",2,5,-0.429,1.328,0.249,31
"[(0.55, 0.6), (0.15, 0.2), (0.25, 0.3)]",4,5,-0.111,0.111,0.739,30
"[(0.55, 0.6), (0.15, 0.2), (0.2, 0.25)]",12,12,0.000,-0.000,1.000,29
"[(0.6, 0.65), (0.0, 0.05), (0.35, 0.4)]",0,0,,,,28
"[(0.6, 0.65), (0.0, 0.05), (0.3, 0.35)]",0,1,-1.000,1.386,0.239,27
"[(0.6, 0.65), (0.05, 0.1), (0.3, 0.35)]",2,0,1.000,2.773,0.096,26
"[(0.6, 0.65), (0.05, 0.1), (0.25, 0.3)]",1,0,1.000,1.386,0.239,25
"[(0.6, 0.65), (0.1, 0.15), (0.25, 0.3)]",1,2,-0.333,0.340,0.560,24
"[(0.6, 0.65), (0.1, 0.15), (0.2, 0.25)]",2,2,0.000,-0.000,1.000,23
"[(0.6, 0.65), (0.15, 0.2), (0.2, 0.25)]",8,7,0.067,0.067,0.796,22
"[(0.65, 0.7), (0.0, 0.05), (0.3, 0.35)]",0,0,,,,21
"[(0.65, 0.7), (0.0, 0.05), (0.25, 0.3)]",0,0,,,,20
"[(0.65, 0.7), (0.05, 0.1), (0.25, 0.3)]",1,0,1.000,1.386,0.239,19
"[(0.65, 0.7), (0.05, 0.1), (0.2, 0.25)]",0,0,,,,18
"[(0.65, 0.7), (0.1, 0.15), (0.2, 0.25)]",3,3,0.000,-0.000,1.000,17
"[(0.65, 0.7), (0.1, 0.15), (0.15, 0.2)]",1,2,-0.333,0.340,0.560,16
"[(0.7, 0.75), (0.0, 0.05), (0.25, 0.3)]",0,0,,,,15
"[(0.7, 0.75), (0.0, 0.05), (0.2, 0.25)]",0,1,-1.000,1.386,0.239,14
"[(0.7, 0.75), (0.05, 0.1), (0.2, 0.25)]",0,1,-1.000,1.386,0.239,13
"[(0.7, 0.75), (0.05, 0.1), (0.15, 0.2)]",0,2,-1.000,2.773,0.096,12
"[(0.7, 0.75), (0.1, 0.15), (0.15, 0.2)]",5,3,0.250,0.505,0.477,11
"[(0.75, 0.8), (0.0, 0.05), (0.2, 0.25)]",0,0,,,,10
"[(0.75, 0.8), (0.0, 0.05), (0.15, 0.2)]",0,1,-1.000,1.386,0.239,9
"[(0.75, 0.8), (0.05, 0.1), (0.15, 0.2)]",0,0,,,,8
"[(0.75, 0.8), (0.05, 0.1), (0.1, 0.15)]",2,1,0.333,0.340,0.560,7
"[(0.8, 0.85), (0.0, 0.05), (0.15, 0.2)]",0,0,,,,6
"[(0.8, 0.85), (0.0, 0.05), (0.1, 0.15)]",0,0,,,,5
"[(0.8, 0.85), (0.05, 0.1), (0.1, 0.15)]",2,0,1.000,2.773,0.096,4
"[(0.85, 0.9), (0.0, 0.05), (0.1, 0.15)]",0,0,,,,3
"[(0.85, 0.9), (0.0, 0.05), (0.05, 0.1)]",0,0,,,,2
"[(0.9, 0.95), (0.0, 0.05), (0.05, 0.1)]",1,0,1.000,1.386,0.239,1
