T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.1, 0.15)","(0.75, 0.8)","(0.1, 0.15)",12,4,0.00040491294371710083,0.00013341783129315233,0.0002714951124239485,7.370959607009242e-08,8
"(0.1, 0.15)","(0.75, 0.8)","(0.05, 0.1)",15,4,0.000506141179646376,0.00013341783129315233,0.0003727233483532237,1.3892269440763853e-07,11
"(0.1, 0.15)","(0.8, 0.85)","(0.05, 0.1)",13,5,0.0004386556890268592,0.0001667722891164404,0.0002718833999104188,7.392058314684871e-08,8
"(0.1, 0.15)","(0.8, 0.85)","(0.0, 0.05)",9,0,0.0003036847077878256,0.0,0.0003036847077878256,9.222440174417703e-08,9
"(0.1, 0.15)","(0.85, 0.9)","(0.0, 0.05)",6,1,0.00020245647185855042,3.335445782328808e-05,0.00016910201403526234,2.8595491150782062e-08,5
"(0.15, 0.2)","(0.0, 0.05)","(0.8, 0.85)",12,0,0.00040491294371710083,0.0,0.00040491294371710083,1.6395449198964806e-07,12
"(0.15, 0.2)","(0.0, 0.05)","(0.75, 0.8)",15,0,0.000506141179646376,0.0,0.000506141179646376,2.5617889373382505e-07,15
"(0.15, 0.2)","(0.05, 0.1)","(0.75, 0.8)",19,7,0.0006411121608854096,0.00023348120476301658,0.00040763095612239304,1.661629963892563e-07,12
"(0.15, 0.2)","(0.05, 0.1)","(0.7, 0.75)",22,4,0.0007423403968146848,0.00013341783129315233,0.0006089225655215325,3.7078669080132505e-07,18
"(0.15, 0.2)","(0.1, 0.15)","(0.7, 0.75)",26,10,0.0008773113780537184,0.0003335445782328808,0.0005437667998208376,2.9568233258739485e-07,16
"(0.15, 0.2)","(0.1, 0.15)","(0.65, 0.7)",23,17,0.0007760831421244433,0.0005670257829958974,0.00020905735912854593,4.370497940580182e-08,6
"(0.15, 0.2)","(0.15, 0.2)","(0.65, 0.7)",28,17,0.0009447968686732353,0.0005670257829958974,0.0003777710856773379,1.4271099317383457e-07,11
"(0.15, 0.2)","(0.15, 0.2)","(0.6, 0.65)",43,26,0.0014509380483196113,0.0008672159034054901,0.0005837221449141211,3.407315424631422e-07,17
"(0.15, 0.2)","(0.2, 0.25)","(0.6, 0.65)",29,21,0.0009785396139829936,0.0007004436142890498,0.00027809599969394385,7.733738504577402e-08,8
"(0.15, 0.2)","(0.2, 0.25)","(0.55, 0.6)",45,33,0.001518423538939128,0.0011006971081685068,0.0004177264307706212,1.744953709643626e-07,12
"(0.15, 0.2)","(0.25, 0.3)","(0.55, 0.6)",30,13,0.001012282359292752,0.00043360795170274506,0.0005786744075900069,3.348640699996455e-07,17
"(0.15, 0.2)","(0.25, 0.3)","(0.5, 0.55)",33,33,0.0011135105952220273,0.0011006971081685068,1.2813487053520535e-05,1.6418545047073838e-10,0
"(0.15, 0.2)","(0.3, 0.35)","(0.5, 0.55)",32,13,0.001079767849912269,0.00043360795170274506,0.0006461598982095239,4.175226140541423e-07,19
"(0.15, 0.2)","(0.3, 0.35)","(0.45, 0.5)",25,18,0.00084356863274396,0.0006003802408191855,0.0002431883919247745,5.914059396695773e-08,7
"(0.15, 0.2)","(0.35, 0.4)","(0.45, 0.5)",28,18,0.0009447968686732353,0.0006003802408191855,0.00034441662785404973,1.1862281354235498e-07,10
"(0.15, 0.2)","(0.35, 0.4)","(0.4, 0.45)",26,29,0.0008773113780537184,0.0009672792768753544,-8.996789882163598e-05,8.094222818380128e-09,-3
"(0.15, 0.2)","(0.4, 0.45)","(0.4, 0.45)",34,19,0.0011472533405317857,0.0006337346986424736,0.0005135186418893121,2.6370139556784357e-07,15
"(0.15, 0.2)","(0.4, 0.45)","(0.35, 0.4)",36,21,0.0012147388311513024,0.0007004436142890498,0.0005142952168622527,2.644995700873915e-07,15
"(0.15, 0.2)","(0.45, 0.5)","(0.35, 0.4)",19,11,0.0006411121608854096,0.0003668990360561689,0.0002742131248292407,7.519283782861673e-08,8
"(0.15, 0.2)","(0.45, 0.5)","(0.3, 0.35)",29,25,0.0009785396139829936,0.0008338614455822021,0.00014467816840079155,2.0931772411807797e-08,4
"(0.15, 0.2)","(0.5, 0.55)","(0.3, 0.35)",26,14,0.0008773113780537184,0.00046696240952603317,0.00041034896852768524,1.683862759717352e-07,12
"(0.15, 0.2)","(0.5, 0.55)","(0.25, 0.3)",33,29,0.0011135105952220273,0.0009672792768753544,0.00014623131834667295,2.1383598465406007e-08,4
"(0.15, 0.2)","(0.55, 0.6)","(0.25, 0.3)",29,23,0.0009785396139829936,0.0007671525299356259,0.00021138708404736775,4.468449930204892e-08,6
"(0.15, 0.2)","(0.55, 0.6)","(0.2, 0.25)",36,46,0.0012147388311513024,0.0015343050598712518,-0.0003195662287199493,1.0212257453829096e-07,-10
"(0.15, 0.2)","(0.6, 0.65)","(0.2, 0.25)",22,22,0.0007423403968146848,0.0007337980721123378,8.542324702346987e-06,7.297131132032755e-11,0
"(0.15, 0.2)","(0.6, 0.65)","(0.15, 0.2)",38,22,0.0012822243217708192,0.0007337980721123378,0.0005484262496584814,3.007713513144669e-07,16
"(0.15, 0.2)","(0.65, 0.7)","(0.15, 0.2)",24,17,0.0008098258874342017,0.0005670257829958974,0.0002428001044383043,5.895189071525148e-08,7
"(0.15, 0.2)","(0.65, 0.7)","(0.1, 0.15)",33,19,0.0011135105952220273,0.0006337346986424736,0.00047977589657955376,2.3018491093871467e-07,14
"(0.15, 0.2)","(0.7, 0.75)","(0.1, 0.15)",23,13,0.0007760831421244433,0.00043360795170274506,0.00034247519042169823,1.1728925605437846e-07,10
"(0.15, 0.2)","(0.7, 0.75)","(0.05, 0.1)",26,8,0.0008773113780537184,0.00026683566258630466,0.0006104757154674137,3.726805991754506e-07,18
"(0.15, 0.2)","(0.75, 0.8)","(0.05, 0.1)",19,3,0.0006411121608854096,0.00010006337346986425,0.0005410487874155453,2.92733790363832e-07,16
"(0.15, 0.2)","(0.75, 0.8)","(0.0, 0.05)",14,1,0.00047239843433661763,3.335445782328808e-05,0.0004390439765133295,1.9275961331263704e-07,13
